TimeStamp	BatchId	BatchName	RequestedCopies	MachineName	JobName	LayerName	SubmissionDate	OperatorName	CurrentCopy	CompletionStatus	Table	LayerSide	Resist	Treatment	Setup	Material	Compensation	RunLengthFileSize	ImageSize X (mm)	ImageSize Y (mm)	MinWidth (µm)	RegistrationMode	BreakRegistration	SerialNumber	CustomerName	PartNumber	Margin X (µm)	Margin Y (µm)	VirtualTargetUsed	SwapUsed	ThreeTargetPolicyUsed	Scaling NumberOfGroups	Scaling ScaleCenter X	Scaling ScaleCenter Y	Scaling ScaleBottomAsTop	Scaling PreMeasure	Scaling NumberOfPanels	Scaling Allowed Drop	Scaling Upper Calculation Limit X	Scaling Upper Calculation Limit Y	Scaling Lower Calculation Limit X	Scaling Lower Calculation Limit Y	Scaling Upper Print Limit X	Scaling Upper Print Limit Y	Scaling Lower Print Limit X	Scaling Lower Print Limit Y	Scaling JudgeError1 (µm)	Scaling JudgeError2 (µm)	Scaling PitchError (µm)	Scaling PitchErrorDiff (µm)	Scaling G1ScaleAlg DV	Scaling G1ScaleAlg ScaleAlgorithm	Scaling G2ScaleAlg DV	Scaling G2ScaleAlg ScaleAlgorithm	Scaling G3ScaleAlg DV	Scaling G3ScaleAlg ScaleAlgorithm	Scaling G4ScaleAlg DV	Scaling G4ScaleAlg ScaleAlgorithm	ThicknessRecipe (mm)	Energy (J/m²)	ActualEnergy (J/m²)	WaveLengthRatio	PrintResolution (µm)	RipResolution (µm)	PrintPolarity	LowestVacuumLevel	RegistrationTime	CamScale X	CamScale Y	JudgeErrorResult	NominalPanelSize X (mm)	NominalPanelSize Y (mm)	PrintStartTime	PrintEndTime	Recovery	SubPanel	ManualRegistrationUsed	NumberOfTargetRegistrationOk	NumberOfTargetRegRegistrationManual	NumberOfTargetRegistrationSkipped	MaxJudgeError (µm)	ActualScale X	ActualScale Y	MeasuredScale X	MeasuredScale Y	G1FixedCalculated X	G1FixedCalculated Y	NumberOfTargets	Group	Pitch PEx X (µm)	Pitch PEx Y (µm)	Pitch PEy X (µm)	Pitch PEy Y (µm)	Pitch PEd X (µm)	Pitch PEd Y (µm)	PEDx	PEDy	PEDd	SideScaleFactors X1	SideScaleFactors X2	SideScaleFactors Y1	SideScaleFactors Y2	Target Index 1	TargetContextId 1	TargetId 1	CamCoord X (mm) 1	CamCoord Y (mm) 1	MeasuredCoord X (mm) 1	MeasuredCoord Y (mm) 1	TransformedCoord X (mm) 1	TransformedCoord Y (mm) 1	JudgeError X (µm) 1	JudgeError Y (µm) 1	JudgeErrorLength (µm) 1	TargetStatus 1	JudgeErrorStatusViolated 1	Score 1	TargetShape 1	DetectionInfo (m) 1	Target Index 2	TargetContextId 2	TargetId 2	CamCoord X (mm) 2	CamCoord Y (mm) 2	MeasuredCoord X (mm) 2	MeasuredCoord Y (mm) 2	TransformedCoord X (mm) 2	TransformedCoord Y (mm) 2	JudgeError X (µm) 2	JudgeError Y (µm) 2	JudgeErrorLength (µm) 2	TargetStatus 2	JudgeErrorStatusViolated 2	Score 2	TargetShape 2	DetectionInfo (m) 2	Target Index 3	TargetContextId 3	TargetId 3	CamCoord X (mm) 3	CamCoord Y (mm) 3	MeasuredCoord X (mm) 3	MeasuredCoord Y (mm) 3	TransformedCoord X (mm) 3	TransformedCoord Y (mm) 3	JudgeError X (µm) 3	JudgeError Y (µm) 3	JudgeErrorLength (µm) 3	TargetStatus 3	JudgeErrorStatusViolated 3	Score 3	TargetShape 3	DetectionInfo (m) 3	Target Index 4	TargetContextId 4	TargetId 4	CamCoord X (mm) 4	CamCoord Y (mm) 4	MeasuredCoord X (mm) 4	MeasuredCoord Y (mm) 4	TransformedCoord X (mm) 4	TransformedCoord Y (mm) 4	JudgeError X (µm) 4	JudgeError Y (µm) 4	JudgeErrorLength (µm) 4	TargetStatus 4	JudgeErrorStatusViolated 4	Score 4	TargetShape 4	DetectionInfo (m) 4
6/9/2022 2:38:28 AM	89cef1e2-6a59-4b5f-99de-da5cb1f6b770	225069N0	1000	DR192002	f3128-1593-0000-t	cp2	4/28/2022 11:13:51 AM	orb	2	Success		Top	920_50mj	1.0	NLS X-3	500x330		45	500	329.999	110	Ccd	False	1	unknown	unknown	-3000	0	False	False	False	1	0	0	False	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Trapezoid							0.1	50	0	33 : 67	1	1.25	PositivePrintPositivePolarity		00:11.011	1	1	Rejects	500	330	6/9/2022 2:38:28 AM	6/9/2022 2:38:55 AM	False	0	False	4	0	0	0.00	1.00034372828593	0.99937630981318	1.00034932974603	0.999364162187221	0	0	4	G1	29.1640614590278	-29.464721886427	-0.0613447659247868	-0.0343172932844027	203.108304164402	-201.639640121698	29.2254062249526	29.4304045931426	404.7479442861	1.0002835857976	1.00040387077427	0.999376202787945	0.999376416838414	Target 1	3	300	29.806	3285.171	29.625	3285.619	29.625	3285.674	0.00	0.00	0.00	0	0	100	"circle,"	0.977	Target 2	6	300	519.806	3285.171	519.738	3285.528	519.738	3285.473	0.00	0.00	0.00	0	0	100	"circle,"	0.977	Target 3	0	300	34.806	2965.171	34.765	2965.284	34.765	2965.229	0.00	0.00	0.00	0	0	100	"circle,"	0.98	Target 4	5	300	519.806	2965.171	519.818	2964.972	519.818	2965.027	0.00	0.00	0.00	0	0	100	"circle,"	0.98
6/9/2022 2:38:28 AM	89cef1e2-6a59-4b5f-99de-da5cb1f6b770	225069N0	1000	DR192002	f3128-1593-0000-t	cp2	4/28/2022 11:13:51 AM	orb	2	Success		Top	920_50mj	1.0	NLS X-3	500x330		45	500	329.999	110	Ccd	False	1	unknown	unknown	-3000	0	False	False	False	1	0	0	False	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Trapezoid							0.1	50	0	33 : 67	1	1.25	PositivePrintPositivePolarity		00:11.011	1	1	Rejects	500	330	6/9/2022 2:38:28 AM	6/9/2022 2:38:55 AM	False	1	False	4	0	0	0	1.00016629700699	0.999161637525607	1.0001868465367	0.999158143591013	0	0	4	G1	38.4091919246146	-39.2264087739704	-0.0670337636847762	-0.0256874966453324	103.534877481252	-102.808603960852	38.4762256882993	39.2007212773251	206.343481442104	1.00000282536139	1.00032976865258	0.999161557414092	0.999161717637123	Target 1	0	300	34.806	2965.171	34.765	2965.284	34.765	2965.264	0.00	0.00	0.00	0	0	100	"circle,"	0.98	Target 2	3	300	29.806	3285.171	29.625	3285.619	29.625	3285.640	0.00	0.00	0.00	0	0	100	"circle,"	0.977	Target 3	1	300	269.806	2965.171	269.725	2965.189	269.725	2965.209	0.00	0.00	0.00	0	0	100	"circle,"	0.976	Target 4	2	300	269.806	3285.171	269.662	3285.608	269.662	3285.587	0.00	0.00	0.00	0	0	100	"circle,"	0.978
6/9/2022 2:38:28 AM	89cef1e2-6a59-4b5f-99de-da5cb1f6b770	225069N0	1000	DR192002	f3128-1593-0000-t	cp2	4/28/2022 11:13:51 AM	orb	2	Success		Top	920_50mj	1.0	NLS X-3	500x330		45	500	329.999	110	Ccd	False	1	unknown	unknown	-3000	0	False	False	False	1	0	0	False	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Trapezoid							0.1	50	0	33 : 67	1	1.25	PositivePrintPositivePolarity		00:11.011	1	1	Rejects	500	330	6/9/2022 2:38:28 AM	6/9/2022 2:38:55 AM	False	2	False	4	0	0	0	1.0005007047227	0.999510194766778	1.00050192107872	0.999507017109264	0	0	4	G1	-14.6726752812469	14.9848598616131	-0.0598550734025594	-0.0340286425171143	154.906319946122	-153.769199663486	14.6128202078444	15.0188885041302	308.675519609608	1.00056315244038	1.00043825700502	0.999510088641758	0.9995103008918	Target 1	5	300	519.806	2965.171	519.818	2964.972	519.818	2965.005	0.00	0.00	0.00	0	0	100	"circle,"	0.98	Target 2	6	300	519.806	3285.171	519.738	3285.528	519.738	3285.495	0.00	0.00	0.00	0	0	100	"circle,"	0.977	Target 3	4	300	284.806	2965.171	284.727	2965.183	284.727	2965.149	0.00	0.00	0.00	0	0	100	"circle,"	0.975	Target 4	7	300	279.806	3285.171	279.674	3285.605	279.674	3285.638	0.00	0.00	0.00	0	0	100	"circle,"	0.98
6/9/2022 2:38:39 AM	89cef1e2-6a59-4b5f-99de-da5cb1f6b770	225069N0	1000	DR192002	f3128-1593-0000-t	cp2	4/28/2022 11:13:51 AM	orb	2	Success		Top	920_50mj	1.0	NLS X-3	500x330		45	500	329.999	110	Ccd	False	2	unknown	unknown	-3000	0	False	False	False	1	0	0	False	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Trapezoid							0.1	50	0	33 : 67	1	1.25	PositivePrintPositivePolarity		00:10.990	1	1	Rejects	500	330	6/9/2022 2:38:39 AM	6/9/2022 2:39:05 AM	False	0	False	4	0	0	0.00	1.00031355564153	0.99950557048101	1.00031592221056	0.999499288850853	0	0	4	G1	17.6287836977167	-17.8105237359318	-0.0779588837644951	-0.0301616437923258	154.845445895376	-153.758389357563	17.7067425814812	17.7803620921395	308.603835252939	1.0002772013457	1.00034990993736	0.999505476415987	0.999505664546033	Target 1	11	300	29.806	3615.170	29.531	3616.215	29.531	3616.218	0.00	0.00	0.00	0	0	100	"circle,"	0.98	Target 2	14	300	519.806	3615.170	519.618	3616.067	519.618	3616.064	0.00	0.00	0.00	0	0	100	"circle,"	0.982	Target 3	8	300	34.806	3295.170	34.632	3295.734	34.632	3295.732	0.00	0.00	0.00	0	0	100	"circle,"	0.982	Target 4	13	300	519.806	3295.170	519.683	3295.573	519.683	3295.576	0.00	0.00	0.00	0	0	100	"circle,"	0.98
6/9/2022 2:38:39 AM	89cef1e2-6a59-4b5f-99de-da5cb1f6b770	225069N0	1000	DR192002	f3128-1593-0000-t	cp2	4/28/2022 11:13:51 AM	orb	2	Success		Top	920_50mj	1.0	NLS X-3	500x330		45	500	329.999	110	Ccd	False	2	unknown	unknown	-3000	0	False	False	False	1	0	0	False	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Trapezoid							0.1	50	0	33 : 67	1	1.25	PositivePrintPositivePolarity		00:10.990	1	1	Rejects	500	330	6/9/2022 2:38:39 AM	6/9/2022 2:39:05 AM	False	1	False	4	0	0	0	1.00029429688104	0.999548977009673	1.00028005193674	0.999554988240841	0	0	4	G1	14.798773103422	-15.1136406161925	-0.0811224114727338	-0.0318926976206058	103.327179475855	-102.622276951081	14.8798955148948	15.0817479185719	205.949456426936	1.00023131248406	1.00035728127802	0.999548877546016	0.999549076473329	Target 1	8	300	34.806	3295.170	34.632	3295.734	34.632	3295.725	0.00	0.00	0.00	0	0	100	"circle,"	0.982	Target 2	11	300	29.806	3615.170	29.531	3616.215	29.531	3616.225	0.00	0.00	0.00	0	0	100	"circle,"	0.98	Target 3	9	300	269.806	3295.170	269.646	3295.649	269.646	3295.659	0.00	0.00	0.00	0	0	100	"circle,"	0.977	Target 4	10	300	269.806	3615.170	269.575	3616.171	269.575	3616.161	0.00	0.00	0.00	0	0	100	"circle,"	0.979
6/9/2022 2:38:39 AM	89cef1e2-6a59-4b5f-99de-da5cb1f6b770	225069N0	1000	DR192002	f3128-1593-0000-t	cp2	4/28/2022 11:13:51 AM	orb	2	Success		Top	920_50mj	1.0	NLS X-3	500x330		45	500	329.999	110	Ccd	False	2	unknown	unknown	-3000	0	False	False	False	1	0	0	False	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Trapezoid							0.1	50	0	33 : 67	1	1.25	PositivePrintPositivePolarity		00:10.990	1	1	Rejects	500	330	6/9/2022 2:38:39 AM	6/9/2022 2:39:05 AM	False	2	False	4	0	0	0	1.00017733945444	0.999562589093563	1.00017794978113	0.999560905113576	0	0	4	G1	5.27902611372611	-5.39134581819667	-0.0930726038177454	-0.0301273821037285	113.525741790681	-112.748305583125	5.37209871754385	5.36121843609294	226.274047373806	1.00015487162727	1.00019980728161	0.99956249513539	0.999562683051736	Target 1	13	300	519.806	3295.170	519.683	3295.573	519.683	3295.567	0.00	0.00	0.00	0	0	100	"circle,"	0.98	Target 2	14	300	519.806	3615.170	519.618	3616.067	519.618	3616.074	0.00	0.00	0.00	0	0	100	"circle,"	0.982	Target 3	12	300	284.806	3295.170	284.687	3295.650	284.687	3295.656	0.00	0.00	0.00	0	0	100	"circle,"	0.978	Target 4	15	300	279.806	3615.170	279.611	3616.168	279.611	3616.161	0.00	0.00	0.00	0	0	100	"circle,"	0.98
6/9/2022 2:38:50 AM	89cef1e2-6a59-4b5f-99de-da5cb1f6b770	225069N0	1000	DR192002	f3128-1593-0000-t	cp2	4/28/2022 11:13:51 AM	orb	3	Success		Top	920_50mj	1.0	NLS X-3	500x330		45	500	329.999	110	Ccd	False	3	unknown	unknown	-3000	0	False	False	False	1	0	0	False	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Trapezoid							0.1	50	0	33 : 67	1	1.25	PositivePrintPositivePolarity		00:10.985	1	1	Rejects	500	330	6/9/2022 2:38:50 AM	6/9/2022 2:39:16 AM	False	0	False	4	0	0	0.00	1.00033780267961	0.999433305253269	1.00033887940009	0.999429934274149	0	0	4	G1	15.2508088114587	-15.4080336445759	-0.0706076598930849	-0.0299727789752069	126.052686119238	-125.180772080967	15.3214164713518	15.3780608656007	251.233458200204	1.00030635227301	1.00036925308621	0.999433211777258	0.999433398729281	Target 1	19	300	29.806	3945.169	29.484	3946.761	29.484	3946.774	0.00	0.00	0.00	0	0	100	"circle,"	0.979	Target 2	22	300	519.806	3945.169	519.580	3946.614	519.580	3946.601	0.00	0.00	0.00	0	0	100	"circle,"	0.98	Target 3	16	300	34.806	3625.169	34.537	3626.323	34.537	3626.310	0.00	0.00	0.00	0	0	100	"circle,"	0.982	Target 4	21	300	519.806	3625.169	519.601	3626.123	519.601	3626.136	0.00	0.00	0.00	0	0	100	"circle,"	0.982
6/9/2022 2:38:50 AM	89cef1e2-6a59-4b5f-99de-da5cb1f6b770	225069N0	1000	DR192002	f3128-1593-0000-t	cp2	4/28/2022 11:13:51 AM	orb	3	Success		Top	920_50mj	1.0	NLS X-3	500x330		45	500	329.999	110	Ccd	False	3	unknown	unknown	-3000	0	False	False	False	1	0	0	False	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Trapezoid							0.1	50	0	33 : 67	1	1.25	PositivePrintPositivePolarity		00:10.985	1	1	Rejects	500	330	6/9/2022 2:38:50 AM	6/9/2022 2:39:16 AM	False	1	False	4	0	0	0	1.00033970803847	0.999459951962022	1.00035808144622	0.999451942161244	0	0	4	G1	13.7431194980593	-14.0355262959417	-0.0714895698479268	-0.0310251410837736	79.5161140089249	-78.9906293890112	13.8146090679072	14.004501154858	158.506743397936	1.00028121656163	1.00039819951531	0.999459855204011	0.999460048720033	Target 1	16	300	34.806	3625.169	34.537	3626.323	34.537	3626.306	0.00	0.00	0.00	0	0	100	"circle,"	0.982	Target 2	19	300	29.806	3945.169	29.484	3946.761	29.484	3946.778	0.00	0.00	0.00	0	0	100	"circle,"	0.979	Target 3	17	300	269.806	3625.169	269.562	3626.218	269.562	3626.235	0.00	0.00	0.00	0	0	100	"circle,"	0.979	Target 4	18	300	269.806	3945.169	269.538	3946.725	269.538	3946.708	0.00	0.00	0.00	0	0	100	"circle,"	0.975
6/9/2022 2:38:50 AM	89cef1e2-6a59-4b5f-99de-da5cb1f6b770	225069N0	1000	DR192002	f3128-1593-0000-t	cp2	4/28/2022 11:13:51 AM	orb	3	Success		Top	920_50mj	1.0	NLS X-3	500x330		45	500	329.999	110	Ccd	False	3	unknown	unknown	-3000	0	False	False	False	1	0	0	False	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Trapezoid							0.1	50	0	33 : 67	1	1.25	PositivePrintPositivePolarity		00:10.985	1	1	Rejects	500	330	6/9/2022 2:38:50 AM	6/9/2022 2:39:16 AM	False	2	False	4	0	0	0	1.00019392978745	0.99954330855959	1.00016182260791	0.999559537418453	0	0	4	G1	4.88642836251074	-4.99039492351017	-0.0904605549294502	-0.0299389329825317	94.9952316327085	-94.3628788357955	4.97688891744019	4.96045599052763	189.358110468504	1.00017313287802	1.00021472669687	0.999543215189134	0.999543401930046	Target 1	21	300	519.806	3625.169	519.601	3626.123	519.601	3626.119	0.00	0.00	0.00	0	0	100	"circle,"	0.982	Target 2	22	300	519.806	3945.169	519.580	3946.614	519.580	3946.619	0.00	0.00	0.00	0	0	100	"circle,"	0.98	Target 3	20	300	284.806	3625.169	284.601	3626.212	284.601	3626.217	0.00	0.00	0.00	0	0	100	"circle,"	0.979	Target 4	23	300	279.806	3945.169	279.570	3946.722	279.570	3946.717	0.00	0.00	0.00	0	0	100	"circle,"	0.978
6/9/2022 2:39:01 AM	89cef1e2-6a59-4b5f-99de-da5cb1f6b770	225069N0	1000	DR192002	f3128-1593-0000-t	cp2	4/28/2022 11:13:51 AM	orb	4	Success		Top	920_50mj	1.0	NLS X-3	500x330		45	500	329.999	110	Ccd	False	4	unknown	unknown	-3000	0	False	False	False	1	0	0	False	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Trapezoid							0.1	50	0	33 : 67	1	1.25	PositivePrintPositivePolarity		00:10.923	1	1	Rejects	500	330	6/9/2022 2:39:01 AM	6/9/2022 2:39:27 AM	False	0	False	4	0	0	0.00	1.0003021887178	0.99953519230007	1.00030213781406	0.999531879116244	0	0	4	G1	-16.9350895487241	17.109678100951	-0.0807463445084977	-0.0305760119090337	137.499535966072	-136.546686751558	16.8543432042156	17.14025411286	274.046222717629	1.00033711246898	1.00026726496663	0.999535096942755	0.999535287657384	Target 1	27	300	29.806	4275.167	29.465	4277.389	29.465	4277.391	0.00	0.00	0.00	0	0	100	"circle,"	0.979	Target 2	30	300	519.806	4275.167	519.511	4277.198	519.511	4277.197	0.00	0.00	0.00	0	0	100	"circle,"	0.975	Target 3	24	300	34.806	3955.167	34.485	3956.895	34.485	3956.893	0.00	0.00	0.00	0	0	100	"circle,"	0.988	Target 4	29	300	519.806	3955.167	519.565	3956.697	519.565	3956.699	0.00	0.00	0.00	0	0	100	"circle,"	0.979
